Ano;Mês;Tipo Operação;Código Abreviado Produto;Nome SKU;volume;caixas;unidades;faturamento;cobertura
2023;6;"CDD";8413;"GUARANA CHP ANTARCTICA DIET PET 1,5 SHRINK C/6";91,44;1016;6096;23737,89;375
2023;6;"CDD";28512;"PEPSI BLACK PET 1,5 SHRINK C/6";81,18;902;5412;21007,1;317
2023;6;"CDD";21391;"ÃGUA MINERAL S/ GÃS AMA PET 1,5L CAIXA C/6 NPAL";30,15;335;2010;4041,52;67
2023;6;"CDD";19303;"TONICA ANTARCTICA LT 269ML SH C/15";53,14;1317;19755;32924,66;382
2023;6;"CDD";19305;"TONICA ANTARCTICA ZERO LT 269ML SH C/15";17,11;424;6360;11039,32;193
2023;6;"CDD";9099;"LIPTON LIMAO LATA 340ML SH CX12 NPAL";1,96;48;576;1478,39;32
2023;6;"CDD";29148;"FUSION LATA 250ML SH C 15";5,89;157;2355;6186,37;59
2023;6;"CDD";2243;"GUARANA CHP ANTARCTICA MIX BAG IN BOX 18L";602,7;10045;10045;127249,8;69
2023;6;"CDD";10389;"BARE GUARANA LATA 350ML CAIXA C/12 NPAL";490,6;11681;140172;269216,94;1484
2023;6;"CDD";20717;"GUARANA CHP ANTARCTICA 100% NATURAL LT 260ML SH C 15";1,68;43;645;1720,77;24
2023;6;"CDD";23424;"PEPSI COLA LATA 310ML SH C 15 NPAL";1,12;24;360;1526,91;7
2023;6;"CDD";21073;"ÃGUA MINERAL C/GÃS AMA LT SLEEK 350ML SH C 12 NPA";5,88;140;1680;3941,47;18
2023;6;"CDD";21074;"ÃGUA MINERAL S/ GÃS AMA LT SLEEK 350ML SH C 12 NPA";59,56;1418;17016;25517,58;16
2023;6;"CDD";772;"PEPSI COLA MIX BAG IN BOX 18L";518,4;8640;8640;111593,03;62
2023;6;"CDD";7431;"SUKITA MIX BAG IN BOX 18L";253,8;4230;4230;54298,27;58
2023;6;"CDD";9442;"PEPSI TWIST MIX BAG IN BOX 18L";139,32;2322;2322;28985,36;38
2023;6;"CDD";15190;"PEPSI ZERO MIX BAG IN BOX 18L";169,56;2826;2826;36203,25;54
2023;5;"REVENDA";18152;"GUARANA CHP ANTARCTICA PET 200ML SH C/12";2612,29;108845;1306144;1659392,19;19991
2023;5;"CDD";18152;"GUARANA CHP ANTARCTICA PET 200ML SH C/12";747,6;31150;373800;414975,39;2917
2023;5;"REVENDA";18266;"PEPSI COLA PET 200ML SH C/12";930,55;38773;465276;580419,17;10022
2023;5;"CDD";18266;"PEPSI COLA PET 200ML SH C/12";185,88;7745;92940;111853,81;1408
2023;5;"REVENDA";19321;"GUARANA ANTARCTICA ZERO PET 200ML SH C/12";158,57;6607;79284;98247,25;2351
2023;5;"REVENDA";22259;"SUKITA UVA PET 200ML SH C/12";51,59;2150;25797;33435,24;969
2023;5;"REVENDA";18267;"SODA LIMONADA ANTARCTICA PET 200ML SH C/12";133,64;5568;66818;83776,1;2039
2023;5;"REVENDA";18268;"SUKITA PET 200ML SH C/12";647,81;26992;323903;399770,41;7013
2023;5;"REVENDA";4293;"PEPSI BLACK PET 200ML SH C/12";267,13;11131;133567;167110,77;4305
2023;5;"REVENDA";9089;"SUKITA LATA 350ML SH C/12 NPAL";1616;38476;461715;937358,42;12594
2023;5;"REVENDA";9087;"SODA LIMONADA ANTARCTICA LATA 350ML SH C/12 NPAL";684,28;16292;195508;394379,12;6946
