marca;descrição;nome_sku;link_foto;x;y;endereço
Polar Puro Malte;Regular - Frontal;Lata Sleek 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ba832067ec1cc68cd21bad4605ee16fe.png;1655;10;data\img\PolarPuroMalte_LataSleek350ml.png
Goose Island Sofie;Suada - Frontal;Garrafa Vidro 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/b352de8ca5e879559a765860d4d59fff.png;2265;10;data\img\GooseIslandSofie_GarrafaVidro355ml.png
Hoegaarden Grand Cru Golden;Suada - Frontal;Garrafa Vidro 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7bf95916cb340c89605f30d41561b6b6.png;2520;10;data\img\HoegaardenGrandCruGolden_GarrafaVidro330ml.png
Pepsi Cola;Suada - Frontal;Lata Std 350ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/567f99248c47dd0f5966c6687c1a19de.png;3005;10;data\img\PepsiCola_LataStd350ml.png
Pepsi Cola;Regular - Frontal;Garrafa Pet 3L;https://www.catalogoambev.com.br/images/uploads/artes-finais/162347e2216c7243ae8fdff471fafc32.png;3065;10;data\img\PepsiCola_GarrafaPet3L.png
Original;GPI - Esquerda;Pack Cartão Lata Std 6 x 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/f542c22f4f6f5cae3cfcb258319309e4.png;985;11;data\img\Original_PackCartaoLataStd6x473ml.png
Stella Artois;Regular - Direita;Pack Cartão Lata Sleek 8 x 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7426cbf492829cd0c4f3d69601285ab8.png;1400;11;data\img\StellaArtois_PackCartaoLataSleek8x310ml.png
Nossa de Pernambuco;Suada - Frontal;Garrafa Vidro 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/bc962fc115cbf18da3eb831049ebbf91.png;2095;11;data\img\NossadePernambuco_GarrafaVidro1L.png
Patagonia Bohemian Pilsener;Suada - Frontal;Lata Std 473ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/ceb08dda6df07ce8645dac7fbfcf2b1d.png;2345;11;data\img\PatagoniaBohemianPilsener_LataStd473ml.png
Leffe Brown;Regular - Esquerda;Caixa de Transporte Garrafa Vidro 24 x 330ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/c896afdd3f7a345c58e85036eb9a4502.png;2570;11;data\img\LeffeBrown_CaixadeTransporteGarrafaVidro24x330ml.png
Leffe Rituel 9º;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 250ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/eb31497d620137c8f8a98d69c71cc067.png;2600;11;data\img\LeffeRituel9º_PackCartaoGarrafaVidro6x250ml.png
Do Bem Manga;Regular - Frontal;Garrafa Cartonada 1L;https://www.catalogoambev.com.br/images/uploads/artes-finais/f26894bfce6101819c5e14532cfc1e81.png;3455;11;data\img\DoBemManga_GarrafaCartonada1L.png
Voa;Voa;Material Gráfico Logo;https://www.catalogoambev.com.br/images/uploads/artes-finais/311a4404cc380549f595a23ad14bad47.png;3610;11;data\img\Voa_MaterialGraficoLogo.png
Brahma Duplo Malte;Multipack - Direita;Shrink Lata Sleek 20 x 310ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/446b73f3022fb48724a3ab7dd14e6ad7.png;605;12;data\img\BrahmaDuploMalte_ShrinkLataSleek20x310ml.png
Brahma Extra Lager;Regular - Esquerda;Pack Cartão Garrafa Vidro 6 x 355ml;https://www.catalogoambev.com.br/images/uploads/artes-finais/7446674d0645f59c80548ef793a28230.png;760;12;data\img\BrahmaExtraLager_PackCartaoGarrafaVidro6x355ml.png
